FACILTOTSCP,UPTAENM,X,Y,target,label
15,한식,202764.6338,451495.9858,1,0
15,한식,202622.3068,451249.7934,0,0
15,한식,205346.5654,448176.585,1,0
15,한식,206081.4273,449095.7603,1,0
15,경양식,206618.032,450604.7296,1,0
15,한식,203757.9542,453458.9963,1,0
15,기타,206362.1682,452791.3952,1,0
15,정종/대포집/소주방,205805.1123,451072.6984,1,0
15,호프/통닭,203060.1546,455262.2313,1,0
15,기타,202466.8011,456227.5717,0,0
15,한식,201688.6238,457752.4066,0,0
15,한식,204962.0527,462608.5381,1,0
15,한식,206867.177,463143.9684,1,0
15,한식,192661.6613,453828.586,1,0
15,기타,192160.4863,454247.0302,1,0
15,경양식,194598.7433,450540.5072,1,0
15,한식,194850.2915,453882.8094,1,0
15,분식,196049.7877,451008.2802,0,0
15,기타,191572.2572,450713.4998,0,0
15,한식,187727.0135,449832.7664,1,0
15,한식,183209.1553,452264.4479,1,0
15,분식,190876.8342,444120.7552,1,0
15,분식,195648.641,445093.7573,1,0
15,한식,198224.5741,442989.9215,1,0
15,한식,194686.604,442620.6906,1,0
15,한식,200707.3284,442892.1639,1,0
15,기타,205210.3588,445154.4223,0,0
15,한식,203519.2709,444294.8425,1,0
15,한식,204828.1804,445089.6729,1,0
15,한식,204828.1804,445089.6729,1,0
15,한식,203018.5893,445174.1403,1,0
15,한식,210509.4351,445549.7557,1,0
15,한식,210456.5292,445626.3634,1,0
15,기타,210986.4607,441725.2935,0,0
15,한식,212682.0205,449775.0275,1,0
15,한식,201902.5416,459617.541,0,0
15,경양식,195395.4101,455231.2896,0,0
15,한식,193427.2315,450377.4671,0,0
15,중국식,194272.7073,450208.6324,0,0
15,한식,194272.7073,450208.6324,0,0
15,한식,187992.3694,448908.0866,0,0
15,경양식,191582.3226,440465.1679,0,0
15,한식,200948.5409,443542.6823,0,0
15,분식,203686.1439,445344.6794,0,0
15,경양식,203211.8592,444523.6939,0,0
15,한식,202732.3076,452082.4152,0,0
15,한식,202732.3076,452082.4152,0,0
15,경양식,204985.5198,453032.7058,0,0
15,한식,194272.7073,450208.6324,0,0
15,경양식,191586.6606,446798.453,0,0
15,식육(숯불구이),196067.1275,442462.2009,0,0
15,한식,195049.6151,442335.0608,0,0
15,한식,195264.3055,442361.5591,0,0
15,한식,200948.5409,443542.6823,0,0
15,경양식,203211.8592,444523.6939,0,0
15,중국식,203675.905,445926.1197,0,0
15,일식,202358.5057,447232.9557,0,0
15,중국식,203686.1439,445344.6794,0,0
15,한식,202248.5377,445427.5888,0,0
15,한식,202248.5377,445427.5888,0,0
15,분식,203686.1439,445344.6794,0,0
15,한식,198263.9084,450960.763,0,0
15,일식,201050.0434,448934.0856,0,0
15,한식,206913.1617,448345.3527,0,0
15,기타,192070.1489,451748.6449,0,0
15,한식,185738.295,448513.5643,0,0
15,경양식,185738.295,448513.5643,0,0
15,한식,191336.5464,443345.0502,0,0
15,기타,193592.0004,447092.6294,0,0
15,기타,193592.0004,447092.6294,0,0
15,한식,196501.1598,441640.881,0,0
15,한식,194899.8918,442135.938,0,0
15,한식,200948.5409,443542.6823,0,0
15,분식,200948.5409,443542.6823,0,0
15,기타,202180.3944,440860.0125,0,0
15,한식,202248.5377,445427.5888,0,0
15,한식,203686.1439,445344.6794,0,0
15,"외국음식전문점(인도,태국등)",210424.0922,445305.2122,0,0
15,"외국음식전문점(인도,태국등)",210424.0922,445305.2122,0,0
15,일식,210841.3214,444179.666,0,0
15,한식,210841.3214,444179.666,0,0
15,한식,210841.3214,444179.666,0,0
15,한식,206941.7575,445412.9332,0,0
15,한식,210199.6599,448394.6717,0,0
15,기타 휴게음식점,203829.9212,453363.8885,1,1
15,기타 휴게음식점,206161.8213,451891.4602,1,1
15,커피숍,203266.9998,452456.4304,1,1
15,기타 휴게음식점,202053.505,459641.6615,1,1
15,기타 휴게음식점,203042.1895,459280.0178,1,1
15,아이스크림,198767.706,453152.4142,1,1
15,커피숍,199170.6828,452230.614,1,1
15,커피숍,203531.6738,462885.5028,0,1
15,커피숍,200917.2253,452053.9094,1,1
15,편의점,199269.4079,451282.3088,1,1
15,커피숍,197811.955,446248.2559,1,1
15,커피숍,200697.0711,448033.1547,1,1
15,편의점,207849.2314,450167.4977,1,1
15,기타 휴게음식점,205906.7722,448710.968,1,1
15,편의점,195188.2422,451572.5632,1,1
15,커피숍,185479.2415,447816.8894,0,1
15,일반조리판매,185509.1655,449450.0697,1,1
15,기타 휴게음식점,186626.5899,444481.8359,1,1
15,커피숍,190107.0454,445157.6264,1,1
15,키즈카페,188973.6573,443848.7156,1,1
15,백화점,191581.5003,446108.8072,0,1
15,커피숍,193839.0465,447113.612,1,1
15,커피숍,,,1,1
15,백화점,191741.3458,445970.3076,1,1
15,기타 휴게음식점,191538.5187,443569.1408,1,1
15,편의점,193430.5323,443498.1266,1,1
15,커피숍,198027.3108,442900.317,1,1
15,커피숍,198284.0785,441368.9093,1,1
15,편의점,201682.4021,444868.5399,1,1
15,커피숍,198845.0401,444439.8956,1,1
15,백화점,200250.4478,444683.2205,0,1
15,커피숍,203392.7935,440676.3799,0,1
15,커피숍,203392.7935,440676.3799,0,1
15,백화점,204669.5434,443873.6212,1,1
15,커피숍,205130.5917,445590.0968,0,1
15,패스트푸드,205210.3588,445154.4223,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,푸드트럭,205130.5917,445590.0968,0,1
15,편의점,202781.1848,446168.2884,1,1
15,기타 휴게음식점,209731.0888,445196.6635,1,1
15,기타 휴게음식점,207790.4029,444524.5907,1,1
15,기타 휴게음식점,208187.6235,445589.7186,1,1
15,기타 휴게음식점,208589.3633,445455.9041,0,1
15,기타 휴게음식점,208589.3633,445455.9041,0,1
15,커피숍,211312.5272,449728.2135,1,1
15,커피숍,200313.2683,455169.8875,1,1
15,커피숍,200128.2467,453322.292,1,1
15,편의점,200754.3714,457195.3511,1,1
15,기타 휴게음식점,201882.0268,457207.4598,1,1
15,커피숍,200851.9865,450022.8944,1,1
15,일반조리판매,198259.6536,451392.1982,0,1
15,기타 휴게음식점,198259.6536,451392.1982,0,1
15,일반조리판매,197242.9948,450658.9479,0,1
15,커피숍,197564.8856,449244.8608,1,1
15,기타 휴게음식점,203986.7603,449670.2231,0,1
15,기타 휴게음식점,206147.3492,462118.4179,1,1
15,커피숍,207192.8731,458452.734,1,1
15,백화점,205320.2848,461419.8818,0,1
15,일반조리판매,205452.7113,457128.8378,1,1
15,기타 휴게음식점,205645.892,459609.0125,1,1
15,기타 휴게음식점,192043.9136,456222.4301,1,1
